OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
26570,2033689,2,1,
26571,2033690,2,1,
26572,2033691,1,3,
26573,2033692,1,1,
26574,2033693,1,2,
26575,2033694,1,2,
26576,2033695,1,1,
26577,2033699,1,1,
26578,2033700,1,2,
26579,2033701,2,2,
26580,2033696,1,1,
26581,2033697,1,1,
26582,2033698,1,1,
26583,2033702,1,1,
26584,2033704,1,2,
26585,2033706,1,1,
26586,2033711,1,1,
26587,2033713,2,1,
26588,2033714,1,1,
26589,2033716,1,1,
26590,2033717,2,1,
26591,2033715,1,1,
26592,2033719,1,1,
26593,2033721,2,1,
26594,2033725,1,1,
26595,2033726,1,1,
26596,2033727,1,1,
26597,2033735,1,1,
26598,2033729,1,1,
26599,2033730,1,1,
26600,2033731,1,1,
26601,2033733,1,1,
26602,2033734,1,1,
26603,2033739,1,1,
26604,2033739,2,1,
26605,2033740,1,1,
26606,2033741,1,1,
26607,2033742,1,1,
26608,2033743,1,1,
26609,2033744,1,1,
26610,2033748,1,1,
26611,2033749,1,1,
26612,2033751,1,1,
26613,2033753,1,1,
26614,2033755,1,2,
26615,2033756,1,2,
26616,2033757,1,1,
26617,2033758,2,1,
26618,2033765,1,1,
26619,2033766,1,1,
26620,2033767,1,1,
26621,2033768,1,1,
26622,2033769,2,1,
26623,2033773,1,1,
26624,2033774,1,1,
26625,2033776,1,1,
26626,2033779,1,1,
26627,2033780,1,1,
26628,2033783,1,1,
26629,2033784,1,1,
26630,2033785,1,1,
26631,2033789,1,1,
26632,2033786,1,1,
26633,2033787,1,1,
26634,2033788,2,1,
26635,2033795,2,1,
26636,2033796,1,1,
26637,2033797,1,1,
26638,2033792,1,1,
26639,2033794,1,1,
26640,2033800,1,2,
26641,2033801,1,1,
26642,2033802,1,1,
26643,2033809,1,1,
26644,2033815,1,1,
26645,2033816,1,1,
26646,2033821,1,1,
26647,2033822,1,1,
26648,2033825,1,1,
26649,2033827,1,1,
26650,2033828,1,1,
26651,2033833,1,1,
26652,2033834,1,1,
26653,2033829,1,1,
26654,2033830,1,1,
26655,2033831,1,1,
26656,2033838,1,1,
26657,2033840,1,2,
26658,2033840,2,1,
26659,2033835,2,1,
26660,2033836,1,1,
26661,2033837,1,1,
26662,2033844,1,2,
26663,2033841,1,1,
26664,2033845,1,1,
26665,2033849,1,1,
26666,2033851,1,1,
26667,2033852,1,2,
26668,2033854,1,1,
26669,2033799,1,2,
26670,2033855,1,1,
26671,2033858,1,1,
26672,2033856,1,1,
26673,2033859,1,1,
26674,2033860,1,1,
26675,2033861,1,1,
26676,2033862,1,1,
26677,2033863,1,2,
26678,2033864,1,1,
26679,2033865,1,1,
26680,2033866,1,2,
26681,2033867,1,1,
26682,2033869,2,1,
26683,2033870,1,1,
26684,2033871,1,1,
26685,2033871,2,1,
26686,2033872,1,2,
26687,2033873,2,1,
26688,2033875,3,1,
26689,2033879,2,1,
26690,2033881,2,1,
26691,2033884,2,1,
26692,2033885,1,1,
26693,2033886,2,1,
26694,2033887,1,1,
26695,2033888,1,1,
26696,2033889,1,1,
26697,2033890,1,1,
26698,2033891,1,1,
26699,2033891,2,1,
26700,2033893,1,1,
26701,2033894,1,1,
26702,2033895,2,1,
26703,2033904,1,1,
26704,2033905,1,1,
26705,2033906,1,1,
26706,2033909,2,1,
26707,2033910,1,1,
26708,2033911,1,1,
26709,2033912,1,1,
26710,2033913,2,2,
26711,2033914,2,1,
26712,2033915,3,1,
26713,2033919,1,1,
26714,2033920,2,1,
26715,2033916,3,1,
