OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
"37,194","2,033,705",1,5,
"37,195","2,033,706",1,11,
"37,196","2,033,707",1,5,
"37,197","2,033,708",1,4,
"37,198","2,033,709",1,4,
"37,199","2,033,710",1,4,
"37,200","2,033,711",1,5,
"37,201","2,033,712",1,3,
"37,202","2,033,713",1,2,
"37,203","2,033,714",1,3,
"37,204","2,033,716",1,3,
"37,205","2,033,717",1,3,
"37,206","2,033,715",1,5,
"37,207","2,033,718",1,5,
"37,208","2,033,719",1,4,
"37,209","2,033,720",1,5,
"37,210","2,033,721",1,5,
"37,211","2,033,722",1,6,
"37,212","2,033,723",1,4,
"37,213","2,033,724",1,4,
"37,214","2,033,725",1,5,
"37,215","2,033,726",1,3,
"37,216","2,033,727",1,4,
"37,217","2,033,735",1,2,
"37,218","2,033,728",1,4,
"37,219","2,033,729",1,2,
"37,220","2,033,730",1,4,
"37,221","2,033,731",1,2,
"37,222","2,033,732",1,2,
"37,223","2,033,734",1,3,
"37,224","2,033,736",1,4,
"37,225","2,033,737",1,4,
"37,226","2,033,738",1,4,
"37,227","2,033,739",1,5,
"37,228","2,033,740",1,5,
"37,229","2,033,741",1,5,
"37,230","2,033,742",1,5,
"37,231","2,033,743",1,5,
"37,232","2,033,744",1,5,
"37,233","2,033,745",1,5,
"37,234","2,033,746",1,5,
"37,235","2,033,747",1,5,
"37,236","2,033,748",1,3,
"37,237","2,033,750",1,4,
"37,238","2,033,751",1,4,
"37,239","2,033,752",1,5,
"37,240","2,033,753",1,2,
"37,241","2,033,754",1,5,
"37,242","2,033,755",1,4,
"37,243","2,033,756",1,4,
"37,244","2,033,757",1,4,
"37,245","2,033,758",1,4,
"37,246","2,033,759",1,3,
"37,247","2,033,760",1,4,
"37,248","2,033,761",1,3,
"37,249","2,033,762",1,3,
"37,250","2,033,763",1,3,
"37,251","2,033,764",1,4,
"37,252","2,033,765",1,6,
"37,253","2,033,766",1,5,
"37,254","2,033,767",1,5,
"37,255","2,033,768",1,4,
"37,256","2,033,769",1,4,
"37,257","2,033,770",1,4,
"37,258","2,033,771",1,5,
"37,259","2,033,772",1,5,
"37,260","2,033,773",1,5,
"37,261","2,033,774",1,5,
"37,262","2,033,775",1,5,
"37,263","2,033,776",1,4,
"37,264","2,033,777",1,5,
"37,265","2,033,778",1,5,
"37,266","2,033,779",1,5,
"37,267","2,033,780",1,5,
"37,268","2,033,781",1,5,
"37,269","2,033,782",1,4,
"37,270","2,033,783",1,4,
"37,271","2,033,784",1,4,
"37,272","2,033,785",1,4,
"37,273","2,033,789",1,3,
"37,274","2,033,790",1,2,
"37,275","2,033,791",1,4,
"37,276","2,033,786",1,4,
"37,277","2,033,787",1,4,
"37,278","2,033,788",1,4,
"37,279","2,033,795",1,5,
"37,280","2,033,796",1,5,
"37,281","2,033,797",1,5,
"37,282","2,033,792",1,5,
"37,283","2,033,794",1,1,
"37,284","2,033,798",1,4,
"37,285","2,033,800",1,6,
"37,286","2,033,801",1,2,
"37,287","2,033,802",1,1,
"37,288","2,033,803",1,4,
"37,289","2,033,804",1,4,
"37,290","2,033,805",1,4,
"37,291","2,033,806",1,2,
"37,292","2,033,807",1,4,
"37,293","2,033,808",1,4,
"37,294","2,033,809",1,4,
"37,295","2,033,810",1,4,
"37,296","2,033,811",1,4,
"37,297","2,033,812",1,5,
"37,298","2,033,813",1,5,
"37,299","2,033,814",1,3,
"37,300","2,033,815",1,3,
"37,301","2,033,816",1,4,
"37,302","2,033,817",1,4,
"37,303","2,033,818",1,4,
"37,304","2,033,819",1,4,
"37,305","2,033,820",1,4,
"37,306","2,033,821",1,2,
"37,307","2,033,822",1,4,
"37,308","2,033,823",1,4,
"37,309","2,033,824",1,4,
"37,310","2,033,825",1,3,
"37,311","2,033,826",1,4,
"37,312","2,033,827",1,3,
"37,313","2,033,828",1,4,
"37,314","2,033,832",1,2,
"37,315","2,033,833",1,2,
"37,316","2,033,834",1,4,
"37,317","2,033,829",1,4,
"37,318","2,033,830",1,4,
"37,319","2,033,831",1,4,
"37,320","2,033,838",1,4,
"37,321","2,033,839",1,4,
"37,322","2,033,840",1,6,
"37,323","2,033,835",1,4,
"37,324","2,033,836",1,2,
"37,325","2,033,837",1,4,
"37,326","2,033,844",1,4,
"37,327","2,033,846",1,4,
"37,328","2,033,847",1,4,
"37,329","2,033,841",1,3,
"37,330","2,033,842",1,4,
"37,331","2,033,843",1,4,
"37,332","2,033,848",1,4,
"37,333","2,033,845",1,4,
"37,334","2,033,849",1,4,
"37,335","2,033,850",1,3,
"37,336","2,033,851",1,3,
"37,337","2,033,852",1,4,
"37,338","2,033,853",1,2,
"37,339","2,033,854",1,2,
"37,340","2,033,799",1,5,
"37,341","2,033,855",1,5,
"37,342","2,033,857",1,5,
"37,343","2,033,858",1,5,
"37,344","2,033,859",1,5,
"37,345","2,033,860",1,3,
"37,346","2,033,861",1,3,
"37,347","2,033,862",1,2,
"37,348","2,033,863",1,5,
