OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
"26,223","2,022,196",1,1,
"26,224","2,022,192",1,1,
"26,225","2,022,197",1,1,
"26,226","2,022,198",1,1,
"26,227","2,022,199",1,3,
"26,228","2,022,200",1,1,
"26,229","2,022,201",1,2,
"26,230","2,022,202",1,1,
"26,231","2,022,208",1,1,
"26,232","2,022,203",1,1,
"26,233","2,022,205",1,1,
"26,234","2,022,212",1,2,
"26,235","2,022,213",1,1,
"26,236","2,022,214",1,1,
"26,237","2,022,209",1,2,
"26,238","2,022,210",2,1,
"26,239","2,022,215",1,1,
"26,240","2,022,217",1,1,
"26,241","2,022,224",1,1,
"26,242","2,022,225",1,1,
"26,243","2,022,221",1,1,
"26,244","2,022,222",1,1,
"26,245","2,022,227",1,1,
"26,246","2,022,229",1,1,
"26,247","2,022,233",1,1,
"26,248","2,022,237",1,1,
"26,249","2,022,241",1,1,
"26,250","2,022,243",1,1,
"26,251","2,022,249",1,3,
"26,252","2,022,252",1,1,
"26,253","2,022,253",1,1,
"26,254","2,022,255",1,1,
"26,255","2,022,257",1,1,
"26,256","2,022,258",1,2,
"26,257","2,022,263",1,1,
"26,258","2,022,259",1,1,
"26,259","2,022,260",1,1,
"26,260","2,022,269",1,2,
"26,261","2,022,270",1,1,
"26,262","2,022,267",2,1,
"26,263","2,022,271",1,1,
"26,264","2,022,272",1,2,
"26,265","2,022,273",1,2,
"26,266","2,022,275",1,1,
"26,267","2,022,277",1,1,
"26,268","2,022,278",1,1,
"26,269","2,022,279",1,1,
"26,270","2,022,280",1,1,
"26,271","2,022,281",1,3,
"26,272","2,022,282",1,1,
"26,273","2,022,283",1,1,
"26,274","2,022,284",1,1,
"26,275","2,022,285",1,1,
"26,276","2,021,452",1,1,
"26,277","2,021,453",1,4,
"26,278","2,021,454",1,2,
"26,279","2,021,457",1,1,
"26,280","2,021,458",1,1,
"26,281","2,021,459",1,1,
"26,282","2,021,461",1,1,
"26,283","2,021,464",1,1,
"26,284","2,021,465",1,1,
"26,285","2,021,468",1,1,
"26,286","2,021,469",1,1,
"26,287","2,021,470",1,1,
"26,288","2,021,471",1,1,
"26,289","2,021,472",1,1,
"26,290","2,021,473",1,1,
"26,291","2,021,474",1,1,
"26,292","2,021,475",1,1,
"26,293","2,021,479",1,1,
"26,294","2,021,481",1,1,
"26,295","2,021,485",1,1,
"26,296","2,021,486",1,1,
"26,297","2,021,482",1,1,
"26,298","2,021,489",1,1,
"26,299","2,021,496",1,2,
"26,300","2,021,497",1,1,
"26,301","2,021,504",1,1,
"26,302","2,021,505",1,1,
"26,303","2,021,500",1,1,
"26,304","2,021,501",1,2,
"26,305","2,021,509",1,1,
"26,306","2,021,511",1,1,
"26,307","2,021,506",1,1,
"26,308","2,021,507",1,1,
"26,309","2,021,513",1,1,
"26,310","2,021,516",1,1,
"26,311","2,021,521",1,1,
"26,312","2,021,523",1,1,
"26,313","2,021,524",1,1,
"26,314","2,021,531",1,2,
"26,315","2,021,532",1,1,
"26,316","2,021,533",1,1,
"26,317","2,021,534",1,1,
"26,318","2,021,540",1,1,
"26,319","2,021,550",1,1,
"26,320","2,021,555",1,2,
"26,321","2,021,551",1,1,
"26,322","2,021,558",1,1,
"26,323","2,021,559",1,1,
"26,324","2,021,560",1,2,
"26,325","2,021,562",1,1,
"26,326","2,021,563",1,3,
"26,327","2,021,564",1,3,
"26,328","2,021,565",1,2,
"26,329","2,021,567",1,1,
"26,330","2,021,574",4,4,
